  Row   Col.  Seas.  Beg.    End.   Length   Base   Mid-x   Max.    Amp.    L-der.  R-der.  L-integ.  S-integ. 
    1     1     1     3.7    47.6    43.9  3369.2    24.0  6688.7  3319.5   339.5   164.0  243854.9   88872.6 
    1     1     2    53.3    91.5    38.2  2986.9    72.8  8766.3  5779.4   232.4   256.8  224770.1  105292.9 
    1     1     3   100.2   142.8    42.6  3144.2   113.6  8192.4  5048.2   427.5   123.0  252692.2  114349.0 
    2     1     1     3.4    46.8    43.4  3501.4    23.1  6694.5  3193.0   175.3   150.9  246824.6   89259.7 
    2     1     2    52.6    92.8    40.2  3303.7    70.1  6732.8  3429.1   295.8   173.7  230542.8   91788.0 
    2     1     3    99.8   141.3    41.6  3260.1   120.7  7115.2  3855.1   303.1   345.4  249663.7  106220.5 
    3     1     1     3.6    47.5    43.9  3474.7    23.5  6468.5  2993.8   126.5   138.9  237994.1   78157.5 
    3     1     2    53.0    90.0    36.9  2966.0    73.5  8586.5  5620.5   228.0   342.2  222805.5  110097.6 
    3     1     3    99.5   141.6    42.1  3138.3   113.4  8150.3  5012.1   333.6   121.0  243641.5  105557.4 
    4     1     1     3.6    48.2    44.6  3423.2    24.4  6211.6  2788.4   119.3   155.1  235172.2   74281.1 
    4     1     2    53.7    89.1    35.4  2789.9    73.0  9209.1  6419.2   687.9  1201.8  209964.0  103947.9 
    4     1     3    99.8   123.7    23.9  3081.0   112.7  9165.1  6084.2   663.6   621.2  156123.9   76018.2 
    5     1     1     3.6    48.0    44.4  3172.1    24.5  6548.0  3375.9   158.7   175.5  235969.1   90051.9 
    5     1     2    53.5    87.6    34.1  2687.8    72.7  9046.1  6358.3   292.7  1274.9  205868.5  109109.0 
    5     1     3   103.1   142.3    39.2  3087.0   112.4  9293.7  6206.7   812.4   683.3  248652.1  122083.7 
    6     1     1     4.9    44.2    39.3  2529.3    25.0  9377.0  6847.8   377.0   453.2  254559.5  148330.5 
    6     1     2    53.5    90.8    37.3  2598.7    68.3  9458.9  6860.2  1089.6   234.1  231772.7  130421.4 
    6     1     3   103.8   138.4    34.6  2367.6   118.4  9284.8  6917.2  1102.2   501.4  234848.5  147248.7 
    7     1     1     5.0    44.4    39.5  2420.2    25.1  9677.0  7256.8   392.2   473.4  250206.8  148558.2 
    7     1     2    53.5    90.9    37.4  2427.8    68.4  9484.0  7056.1  1048.3   242.2  231705.5  137019.7 
    7     1     3   103.2   138.0    34.9  2223.3   118.5  9336.4  7113.1   949.8   527.9  233789.8  151529.1 
    8     1     1     5.0    44.7    39.6  2388.7    25.0  9592.2  7203.5   998.1   590.1  245652.0  147716.1 
    8     1     2    53.5    91.0    37.5  2380.9    68.5  9441.5  7060.6  1102.8   251.5  230822.7  137968.3 
    8     1     3   101.8   137.6    35.8  2170.1   118.3  9411.9  7241.8  1066.2   588.6  236586.8  154121.6 
    9     1     1     5.9    44.3    38.4  2474.2    25.0  9553.2  7079.1   990.5   754.0  240695.5  139253.6 
    9     1     2    53.5    91.1    37.6  2343.3    68.5  9337.5  6994.3  1052.7   245.2  231660.8  137930.5 
    9     1     3   101.0   138.4    37.5  2056.8   118.4  9329.4  7272.6  1158.1   582.3  245791.1  163518.6 
   10     1     1     6.1    44.7    38.6  2404.9    24.7  9711.7  7306.8  1047.7   729.9  237493.5  141297.6 
   10     1     2    53.5    91.0    37.5  2313.5    69.0  9242.0  6928.4   394.9   254.4  233184.1  142955.8 
   10     1     3   100.6   138.4    37.7  2076.7   118.5  9278.3  7201.6   992.3   637.3  243124.7  160057.1 
   11     1     1     5.8    45.6    39.7  2337.5    24.7  9638.4  7300.9  1169.6   484.5  245136.6  146961.4 
   11     1     2    53.6    90.5    36.9  2236.1    68.6  9441.3  7205.2  1039.1   263.3  234168.0  146960.8 
   11     1     3   100.6   138.1    37.5  2101.0   118.8  9299.9  7198.9  1019.3   684.8  245306.6  161265.4 
   12     1     1     6.1    45.9    39.8  2228.6    24.8  9441.4  7212.8  1137.1   478.9  239433.9  148062.6 
   12     1     2    53.7    90.8    37.1  2167.9    68.3  9400.5  7232.6  1000.9   254.1  233175.3  148627.2 
   12     1     3   102.2   139.0    36.8  2090.5   118.8  9219.6  7129.1  1188.9   654.3  241250.1  159720.9 
   13     1     1     4.7    47.8    43.1  3427.2    21.2  7117.2  3690.0   267.0   139.4  243403.5   89181.6 
